fecha,views,profile_views,likes,comments,shares,viewers_total,viewers_new,viewers_returning,followers_total,followers_diff
2025-06-22,25,1,0,-1,0,15,6,9,356,0
2025-06-23,13,0,0,0,0,5,1,4,357,1
2025-06-24,18,6,2,0,0,8,0,8,357,0
2025-06-25,57,2,0,0,0,16,4,12,357,0
2025-06-26,15,5,0,0,0,20,4,16,357,0
2025-06-27,23,1,0,0,0,7,1,6,357,0
2025-06-28,27,3,0,0,0,6,3,3,357,0
2025-06-29,22,1,0,0,0,15,5,10,357,0
2025-06-30,25,4,0,0,0,11,3,8,357,0
2025-07-01,16,2,0,0,0,13,1,12,357,0
2025-07-02,15,3,0,0,0,11,2,9,357,0
2025-07-03,14,1,0,0,0,12,3,9,357,0
2025-07-04,16,2,0,0,0,8,2,6,356,-1
2025-07-05,39,2,1,0,0,12,6,6,356,0
2025-07-06,14,0,0,0,0,10,0,10,356,0
2025-07-07,30,3,0,0,0,11,2,9,356,0
2025-07-08,16,1,0,0,0,13,5,8,355,-1
2025-07-09,10,1,1,0,0,9,5,4,355,0
2025-07-10,6,2,0,0,0,8,2,6,355,0
2025-07-11,13,3,0,0,0,5,3,2,356,1
2025-07-12,18,3,0,0,0,6,1,5,356,0
2025-07-13,11,0,0,0,0,13,3,10,356,0
2025-07-14,5,2,0,0,0,5,1,4,356,0
2025-07-15,327,8,12,0,0,4,2,2,355,-1
2025-07-16,132,10,6,0,0,243,130,113,355,0
2025-07-17,36,1,1,0,0,95,11,84,355,0
2025-07-18,16,0,0,0,0,29,1,28,355,0
2025-07-19,18,1,0,0,0,14,1,13,355,0
2025-07-20,25,4,1,0,0,14,2,12,354,-1
2025-07-21,14,2,0,0,0,14,4,10,354,0
2025-07-22,23,1,1,0,0,14,4,10,354,0
2025-07-23,12,0,0,0,0,12,2,10,354,0
2025-07-24,5,1,0,0,0,11,2,9,354,0
2025-07-25,31,7,0,0,0,3,0,3,354,0
2025-07-26,16,1,0,0,0,16,3,13,354,0
2025-07-27,8,0,0,0,0,6,3,3,354,0
2025-07-28,8,1,0,0,0,8,2,6,354,0
2025-07-29,13,2,0,0,0,8,1,7,354,0
2025-07-30,17,2,0,0,0,6,1,5,354,0
2025-07-31,40,2,1,0,0,8,1,7,354,0
2025-08-01,6,0,1,0,0,20,1,19,354,0
2025-08-02,20,0,0,0,0,6,0,6,354,0
2025-08-03,2,0,0,-1,0,9,1,8,354,0
2025-08-04,9,2,0,0,0,2,0,2,354,0
2025-08-05,5,0,0,0,0,2,0,2,354,0
2025-08-06,3,1,0,0,0,4,2,2,355,1
2025-08-07,31,2,0,0,0,3,0,3,355,0
2025-08-08,26,2,0,0,0,5,1,4,355,0
2025-08-09,6,3,0,0,0,6,2,4,355,0
2025-08-10,6,0,0,0,0,4,3,1,355,0
2025-08-11,36,4,0,0,0,5,2,3,355,0
2025-08-12,8,3,0,0,0,5,1,4,354,-1
2025-08-13,6,1,0,0,0,4,0,4,354,0
2025-08-14,30,4,0,0,0,5,3,2,354,0
2025-08-15,24,3,0,0,0,6,4,2,354,0
2025-08-16,543,15,26,0,0,3,1,2,354,0
2025-08-17,513,27,43,4,1,442,366,76,356,2
2025-08-18,122,12,10,0,0,374,123,251,358,2
2025-08-19,810,35,48,10,20,64,5,59,359,1
2025-08-20,145,10,5,0,0,569,320,249,360,1
2025-08-21,47,1,1,0,1,94,22,72,360,0
2025-08-22,88,4,1,0,0,38,8,30,360,0
2025-08-23,68,4,2,0,1,39,4,35,360,0
2025-08-24,52,4,2,0,0,39,4,35,360,0
2025-08-25,46,5,2,0,0,37,7,30,360,0
2025-08-26,25,2,0,0,0,32,10,22,360,0
2025-08-27,34,4,2,0,0,22,5,17,359,-1
2025-08-28,18,0,0,0,0,23,11,12,359,0
2025-08-29,42,3,0,0,0,14,3,11,359,0
2025-08-30,23,2,1,0,0,16,4,12,359,0
2025-08-31,13,0,1,0,0,16,9,7,359,0
2025-09-01,14,2,1,0,0,9,2,7,359,0
2025-09-02,18,5,2,0,0,12,6,6,359,0
2025-09-03,18,2,0,0,0,12,4,8,359,0
2025-09-04,10,0,0,0,0,16,1,15,359,0
2025-09-05,8,0,1,0,0,8,1,7,359,0
2025-09-06,13,0,0,0,0,5,2,3,359,0
2025-09-07,4,0,0,0,0,7,3,4,359,0
2025-09-08,15,0,0,0,0,4,4,0,359,0
2025-09-09,15,0,1,0,0,11,6,5,360,1
2025-09-10,9,0,0,0,0,12,5,7,360,0
2025-09-11,13,0,0,0,0,6,3,3,360,0
2025-09-12,14,1,0,0,0,7,3,4,360,0
2025-09-13,15,1,0,0,0,11,5,6,360,0
2025-09-14,3,0,0,0,0,11,6,5,360,0
2025-09-15,5,1,0,0,0,3,1,2,360,0
2025-09-16,14,1,0,0,0,5,1,4,360,0
2025-09-17,16,2,1,0,0,8,4,4,360,0
2025-09-18,12,2,0,0,0,11,4,7,360,0
2025-09-19,14,3,0,0,0,8,3,5,360,0
2025-09-20,11,0,1,0,0,8,4,4,360,0
2025-09-21,20,0,0,0,0,10,6,4,360,0
2025-09-22,32,2,0,0,0,14,6,8,360,0
2025-09-23,5,0,0,0,0,9,6,3,360,0
2025-09-24,10,1,0,0,0,5,2,3,360,0
2025-09-25,10,2,0,0,0,7,3,4,360,0
2025-09-26,18,0,0,0,0,7,5,2,360,0
2025-09-27,8,0,0,0,0,3,0,3,360,0
2025-09-28,28,3,1,0,0,3,0,3,360,0
2025-09-29,3,1,0,0,0,4,0,4,360,0
2025-09-30,12,0,0,0,0,3,1,2,360,0
2025-10-01,14,2,0,0,0,9,3,6,360,0
2025-10-02,4,0,0,0,0,6,1,5,360,0
2025-10-03,4,1,0,0,0,3,2,1,360,0
2025-10-04,4,0,0,0,0,3,2,1,360,0
2025-10-05,4,0,0,0,0,4,3,1,360,0
2025-10-06,4,1,0,0,0,4,3,1,360,0
2025-10-07,17,1,0,0,0,3,1,2,360,0
2025-10-08,3,0,0,0,0,3,2,1,360,0
2025-10-09,4,0,0,0,0,3,1,2,360,0
2025-10-10,9,0,0,0,0,4,3,1,360,0
2025-10-11,8,1,0,0,0,7,3,4,360,0
2025-10-12,8,0,0,0,0,6,2,4,360,0
2025-10-13,17,1,0,0,0,6,3,3,360,0
2025-10-14,8,0,0,0,0,7,4,3,360,0
2025-10-15,5,0,0,0,0,6,4,2,360,0
2025-10-16,7,0,0,0,0,4,2,2,360,0
2025-10-17,7,0,0,0,0,7,3,4,360,0
2025-10-18,7,3,0,0,0,4,2,2,360,0
2025-10-19,14,1,0,0,0,5,0,5,360,0
2025-10-20,42,1,2,0,1,8,5,3,360,0
2025-10-21,13,2,0,0,0,30,24,6,360,0
2025-10-22,15,1,0,0,0,6,3,3,360,0
2025-10-23,21,1,0,0,0,11,4,7,360,0
2025-10-24,8,0,0,0,0,12,6,6,360,0
2025-10-25,29,2,0,0,0,5,3,2,360,0
2025-10-26,13,0,0,0,0,13,4,9,360,0
2025-10-27,5,2,0,0,0,3,0,3,360,0
2025-10-28,10,2,1,0,0,3,0,3,361,1
2025-10-29,3,0,0,0,0,6,4,2,361,0
2025-10-30,9,0,0,0,0,3,0,3,361,0
2025-10-31,22,1,0,0,0,6,3,3,361,0
2025-11-01,8,1,0,0,0,7,2,5,362,1
2025-11-02,19,2,0,0,0,6,5,1,362,0
2025-11-03,7,1,0,0,0,8,1,7,362,0
2025-11-04,4,0,0,0,0,6,2,4,362,0
2025-11-05,3,0,0,0,0,4,2,2,362,0
2025-11-06,9,1,0,0,0,1,1,0,362,0
2025-11-07,8,0,0,0,0,5,1,4,362,0
2025-11-08,6,3,0,0,0,4,4,0,362,0
2025-11-09,6,1,0,0,0,4,1,3,362,0
2025-11-10,1,1,0,0,0,3,2,1,362,0
2025-11-11,8,1,0,0,0,1,1,0,362,0
2025-11-12,15,2,0,0,0,4,2,2,362,0
2025-11-13,5,0,0,0,0,3,0,3,362,0
2025-11-14,7,0,0,0,0,4,3,1,362,0
2025-11-15,3,1,0,0,0,3,2,1,362,0
2025-11-16,1,0,0,0,0,3,2,1,362,0
2025-11-17,4,1,0,0,0,1,1,0,362,0
2025-11-18,5,0,0,0,0,4,3,1,362,0
2025-11-19,4,0,0,0,0,4,3,1,362,0
2025-11-20,5,0,0,0,0,3,2,1,362,0
2025-11-21,3,0,0,0,0,3,1,2,362,0
2025-11-22,2,1,0,0,0,2,2,0,361,-1
2025-11-23,1,0,0,0,0,2,1,1,360,-1
2025-11-24,5,0,0,0,0,1,0,1,360,0
2025-11-25,8,3,0,0,0,2,1,1,360,0
